CaseRef,CaseCommonName,Devil_Type,Devil_Text,FolkNotes
C/JO/2846,"Ker,Jonet",Male,fearful shape,Witness told presbytery that Ker had appeared to her while she was in her bed with her husband and had abused her. The witness then took an illness and later on her knees asked Ker three times for her health. Ker denied all the accusations.  Later entry in the presbytery minutes about another woman (Christian Adie) who was in trouble for having requested her health from Ker.
C/EGD/1817,"Coutts,Jonet",Male,in green clothing, 
C/EGD/1862,"Forrest,Bessie",Male,"large, black man", 
C/EGD/2005,"Watsone,Marion",Male,in green with black hat,"Several spoken verses recorded by another accused witch, which she claimed to have been used by Watsone. Watsone did not mention this herself."
C/EGD/2005,"Watsone,Marion",Male,young man in green,"Several spoken verses recorded by another accused witch, which she claimed to have been used by Watsone. Watsone did not mention this herself."
C/EGD/1859,"Shanks,Thomas",Male,"little man, in blue, blue hat, black staff", 
C/EGD/1758,"McNair,Janet",Male,grim black man, 
C/JO/2882,"Alexander,Magaret",Male,black clothing,Used water from St Mungo's well to heal her father and spoke verse/charm.
C/JO/2883,"Parish,Barbria",Female Fairy,green clothes/kirtall,Used term 'good neighbours' who wore green kirtalls. The fairies wanted a nurse for one of their own offspring. BP told them to go to a neighbour's house but the woman would not go with them and so her child was killed. This may indicate a changeling type motif but it is not mentioned specifically.
C/JO/2883,"Parish,Barbria",Male,black man in black clothes,Used term 'good neighbours' who wore green kirtalls. The fairies wanted a nurse for one of their own offspring. BP told them to go to a neighbour's house but the woman would not go with them and so her child was killed. This may indicate a changeling type motif but it is not mentioned specifically.
C/JO/2883,"Parish,Barbria",Male Fairy,green clothes/grey hat,Used term 'good neighbours' who wore green kirtalls. The fairies wanted a nurse for one of their own offspring. BP told them to go to a neighbour's house but the woman would not go with them and so her child was killed. This may indicate a changeling type motif but it is not mentioned specifically.
C/JO/2882,"Alexander,Magaret",Female Fairy, ,Used water from St Mungo's well to heal her father and spoke verse/charm.
C/JO/2882,"Alexander,Magaret",Male Fairy, ,Used water from St Mungo's well to heal her father and spoke verse/charm.
C/EGD/1367,"Todrig,Bessie",Male,in brown clothes,Devil came to her own house at Martinmas.
C/EGD/1368,"Dawsoun,Bessie",Male,black clothes, 
C/EGD/1375,"Ker,Margaret",Animal Devil,dog, 
C/EGD/1375,"Ker,Margaret",Male, , 
C/EGD/1372,"Baigbie,Jonet",Male,in black clothes, 
C/EGD/1373,"Smith,Issobell",Male,black man in green,Mentioned a man in green clothes in her confession.
C/JO/2905,"Smyth,Issobell",Male,gentleman, 
C/EGD/1374,"Kemp,Anna",Male,in black clothes, 
C/EGD/1374,"Kemp,Anna",Animal Devil,dog, 
C/EGD/2121,"Leyis,Thomas",Male,a little cuttie fellow with a staff,Leyis was accused of using cantrips to bewitch but no description of what they involved. Accused of having predicted the birth of a female child (his daughter) before Elspeth Reid knew she was pregnant. The child would be born on a Sunday after Martinmas.
C/EGD/2121,"Leyis,Thomas",Animal Devil,magpie,Leyis was accused of using cantrips to bewitch but no description of what they involved. Accused of having predicted the birth of a female child (his daughter) before Elspeth Reid knew she was pregnant. The child would be born on a Sunday after Martinmas.
C/EGD/2453,"Brown,Jean",Spirit,non-visible spirits,"She confessed that they were good spirits, but did not refer to them as fairies, and they told her the world would be destroyed. Witnesses claimed she used charms, including a belt which had a tourner (a copper coin, not legal tender after 1707) and 3 pickles of wheat in it but she denied this. The spirits showed her a vision of the day of judgement, when the heavens were as thunder and fire."
C/EGD/2121,"Leyis,Thomas",Animal Devil,jackdaw,Leyis was accused of using cantrips to bewitch but no description of what they involved. Accused of having predicted the birth of a female child (his daughter) before Elspeth Reid knew she was pregnant. The child would be born on a Sunday after Martinmas.
C/EGD/1818,"Hunter,Marion",Male, , 
C/EGD/1818,"Hunter,Marion",Animal Devil,young dog, 
C/EGD/1818,"Hunter,Marion",Animal Devil,young brown dog, 
C/EGD/1324,"Murray,Issobell",Animal Devil,black dog, 
C/EGD/2387,"Couper,Jonat",Male, , 
C/EGD/1323,"Dicksone,Margaret",Male,man wearing green clothes, 
C/EGD/1856,"Skair,Catharin",Animal Devil,round headed cat,"Witnesses claim they saw her going to a well and collecting water, which she cast on her rigg. She spoke nothing on her way and forbade witness to follow her to the well. Cursed witness who argued with her son, he then took ill."
C/EGD/1856,"Skair,Catharin",Animal Devil,black dog,"Witnesses claim they saw her going to a well and collecting water, which she cast on her rigg. She spoke nothing on her way and forbade witness to follow her to the well. Cursed witness who argued with her son, he then took ill."
C/EGD/1856,"Skair,Catharin",Male,cold man,"Witnesses claim they saw her going to a well and collecting water, which she cast on her rigg. She spoke nothing on her way and forbade witness to follow her to the well. Cursed witness who argued with her son, he then took ill."
C/JO/2959,"Lyell,Catharin",Male, , 
C/EGD/1848,"Merchant,Margaret",Male, ,Blew in the face of one of her victims. Put divots of grass under her cogs.
C/EGD/1855,"Walker,Catharin",Animal Devil,cat,"Walker was asked about her practice of going to each corner of her house and saying the following: 'Here I cast a compass, there I cast a compass'. She said she believed it was a prayer."
C/EGD/1855,"Walker,Catharin",Animal Devil,dog,"Walker was asked about her practice of going to each corner of her house and saying the following: 'Here I cast a compass, there I cast a compass'. She said she believed it was a prayer."
C/EGD/604,"McNicol,Janet",Male,leper, 
C/EGD/2153,"Davidsone,Jonat",Animal Devil,Beast,Used cloth of various colours. I think she used nail trimmings rather than iron nails as it refers to 'peces of nails'. Claimed to have had a piece of paper on which there was writing and that a neighbour took ill and died after picking it up.
C/EGD/2172,"Man,Andro",Female Fairy,Quene of Elphen,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
C/EGD/2172,"Man,Andro",Spirit,Christonday/Angel,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
C/EGD/2172,"Man,Andro",Ghost,Thomas Rhymer/James IV,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
C/EGD/2172,"Man,Andro",Animal Devil,Stag deer,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
C/EGD/2172,"Man,Andro",Other Demon,Black beast,"Hit animals with a bird to cure them. Also black wool and salt as a remedy for diseases. Spoke 'orisonis sic of Sanct John'. Put stones in the 4 corners of a ward (piece of land) to protect the crops and good. Put a man 9 times forwards through a piece of yarn and transferred the sickness to a cat, which he put backwards through the same piece of yarn. Spoke the words Benedicite and Maikpeblis to summon and dismiss the Queen of Elves. Claimed if an iron plough was dipped in salmon water it would help stop the oxen from running away."
C/EGD/2159,"Gray,Ellen",Male,Old beared man in white,Caused a man's wand to never lie down. He later died.
C/EGD/2159,"Gray,Ellen",Male,no details,Caused a man's wand to never lie down. He later died.
C/EGD/2160,"Wobster,Agnes",Animal Devil,as a lamb,"Claimed that she gave 'devilische potage' to a woman. She claimed it was brawn and jelly but the woman refused it otherwise she would have died. Witness claimed that she, or a devil in her likeness, appeared and vomited and spewed fyrie brunndes (brands) from her mouth. Accused of having gone three times to a stone, called the Curstane, at sunrise in May."
